SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,IsMale,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,InternetService_DSL,InternetService_Fiber optic,InternetService_No
False,True,False,0.0,False,False,False,True,False,False,False,False,True,0.11542288557213931,0.001275098084468036,False,False,True,False,False,False,False,True,False,True,False,False
False,False,False,0.4647887323943662,True,False,True,False,True,False,False,False,False,0.3850746268656717,0.21586660512347103,False,True,False,True,False,False,False,False,True,True,False,False
False,False,False,0.014084507042253521,True,False,True,True,False,False,False,False,True,0.35422885572139307,0.010310408492960998,True,True,True,False,False,False,False,False,True,True,False,False
False,False,False,0.6197183098591549,False,False,True,False,True,True,False,False,False,0.23930348258706466,0.21024117239787676,False,True,False,True,False,True,False,False,False,True,False,False
False,False,False,0.014084507042253521,True,False,False,False,False,False,False,False,True,0.5218905472636817,0.015330025386568196,True,False,True,False,False,False,False,True,False,False,True,False
False,False,False,0.09859154929577464,True,True,False,False,True,False,True,True,True,0.809950248756219,0.09251096238172167,True,False,True,False,False,False,False,True,False,False,True,False
False,False,True,0.29577464788732394,True,True,False,True,False,False,True,False,True,0.7049751243781094,0.22277867528271408,False,True,True,False,False,False,True,False,False,False,True,False
False,False,False,0.1267605633802817,False,False,True,False,False,False,False,False,False,0.11442786069651742,0.03266789753057927,False,False,True,False,False,False,False,False,True,True,False,False
False,True,False,0.38028169014084506,True,True,False,False,True,True,True,True,True,0.8611940298507462,0.3493249480729287,True,False,True,False,False,False,False,True,False,False,True,False
False,False,True,0.8591549295774648,True,False,True,True,False,False,False,False,False,0.3771144278606965,0.4003173321024694,False,True,False,True,False,True,False,False,False,True,False,False
False,True,True,0.16901408450704225,True,False,True,False,False,False,False,False,True,0.3154228855721393,0.06561850911608587,False,True,True,False,False,False,False,False,True,True,False,False
False,False,False,0.2112676056338028,True,False,False,False,False,False,False,False,False,0.006965174129353227,0.035541195476575124,False,True,False,False,True,False,True,False,False,False,False,True
False,True,False,0.8028169014084507,True,True,False,False,True,False,True,True,False,0.8169154228855721,0.6533925686591276,False,True,False,True,False,False,True,False,False,False,True,False
False,False,False,0.676056338028169,True,True,False,True,True,False,True,True,True,0.8502487562189055,0.578986845141934,True,True,True,False,False,True,False,False,False,False,True,False
False,False,False,0.3380281690140845,True,False,True,False,True,True,True,True,True,0.8681592039800995,0.30778329102238633,False,True,True,False,False,False,False,True,False,False,True,False
False,True,True,0.9577464788732394,True,True,True,True,True,True,True,True,False,0.945273631840796,0.9088795291945534,False,False,False,False,True,False,True,False,False,False,True,False
False,False,False,0.7183098591549296,True,False,False,False,False,False,False,False,False,0.02388059701492536,0.1158723747980614,False,False,False,True,False,False,False,False,True,False,False,True
False,False,True,0.9859154929577465,True,True,True,False,True,False,True,True,False,0.8800995024875622,0.8496942072467113,False,True,False,False,True,True,False,False,False,False,True,False
False,True,True,0.1267605633802817,True,False,False,False,True,True,False,False,False,0.36766169154228856,0.058798753750288486,True,False,True,False,False,False,True,False,False,True,False,False
False,False,False,0.28169014084507044,True,False,False,True,True,False,False,True,True,0.7144278606965174,0.2127971382414032,False,False,True,False,False,False,False,True,False,False,True,False
True,False,False,0.0,False,False,False,False,True,False,False,True,True,0.21293532338308457,0.0024059543041772442,True,True,True,False,False,False,False,True,False,True,False,False
False,True,False,0.15492957746478872,True,False,False,False,False,False,False,False,False,0.01542288557213931,0.021168936072005536,False,True,False,True,False,True,False,False,False,False,False,True
False,False,False,0.0,True,False,False,False,False,False,False,False,False,0.018905472636815905,0.00015578121393953356,True,True,True,False,False,False,False,False,True,False,False,True
False,True,False,0.8028169014084507,True,True,False,True,False,True,False,False,True,0.4144278606965174,0.4022963304869605,False,False,False,False,True,False,True,False,False,True,False,False
